Dataset,Varijanta,Model,MAE,MAE_std,RMSE,RMSE_std
crop,original,MLPRegressor,8.220142483596343,0.057863867886952663,10.729919499619381,0.07435382955559788
crop,original,RandomForest,9.283420807957103,0.04280479828966011,11.90925386268896,0.049334539109672663
crop,original,XGBoost,8.493825857845192,0.049054273278984435,11.00569530893743,0.05791941142667374
crop,flip,MLPRegressor,8.223150602007077,0.038682111073958136,10.746154601704685,0.06502063356240956
crop,flip,RandomForest,9.315655569452133,0.034152412694309645,11.93218988941752,0.041350715543830324
crop,flip,XGBoost,8.511276708749099,0.04275688918374553,11.026956346186932,0.04945851067881421
crop,rotation,MLPRegressor,8.434044679468851,0.04355691126893502,10.989608128360263,0.05561261811287999
crop,rotation,RandomForest,9.49584156774188,0.031344863072458026,12.118988879683483,0.03596142394933729
crop,rotation,XGBoost,8.684104057880315,0.03732422528381695,11.227441014258003,0.037973002247072334
crop,brightness,MLPRegressor,8.517834128408554,0.05360920604706916,11.096970444142004,0.050282609857585904
crop,brightness,RandomForest,9.521831141990074,0.032725050068767296,12.166342874806999,0.04112893558409532
crop,brightness,XGBoost,8.751510227489437,0.033740244761049164,11.308536247332908,0.039334290117636624
crop,combined,MLPRegressor,8.717340801252801,0.044755515895264934,11.328558905186208,0.05255288590687095
crop,combined,RandomForest,9.67983788197942,0.03863124754911163,12.34637384026909,0.048442486337255015
crop,combined,XGBoost,8.935808830724339,0.033609386071777984,11.5283104112191,0.0411512338245132
